Sequence id 	Synonyms	Description 	EC number 	WT expr 1	WT expr 2	CLA50 expr 1	CLA50 expr 2	Fold change	q-value	"significant +, q <0.0005"
SCLAV5232 		ABC transporter ATP-binding protein 		75	92	96	101	1.177	1.81E-01	no
SCLAV5233 	hopE	Phytoene synthase 		52	52	44	37	0.785	4.42E-03	no
SCLAV5234 	hopD	Putative squalene/phytoene synthase 	2.5.1.32	130	143	78	84	0.593	4.90E-04	no
SCLAV5235 	hopC	Squalene/phytoene dehydrogenase 		147	161	139	149	0.936	2.21E-02	no
SCLAV5236 	hopB	Polyprenyl diphosphate synthase 		327	335	316	316	0.954	2.63E-03	no
SCLAV5237 	hopA	squalene-hopene cyclase 	5.4.99.17	72	76	59	70	0.872	1.53E-02	no
SCLAV5239 		Radical SAM domain protein 		53	60	56	59	1.02	1.81E-01	no
SCLAV5240 		Aminotransferase 		67	77	69	74	0.998	1.56E-01	no
SCLAV5241 		Putative transcriptional regulator 		188	190	232	233	1.229	4.90E-04	yes
SCLAV5242 	ptpA	Protein tyrosine phosphatase 		47	56	72	72	1.398	5.85E-03	no
SCLAV5243 	agaB	alpha-galactosidase 	3.2.1.22	48	48	43	47	0.926	4.50E-02	no
SCLAV5244 		Secreted peptidase 		45	46	41	31	0.799	1.04E-02	no
SCLAV5245 		Lipolytic enzyme 		263	263	384	402	1.496	4.90E-04	yes
SCLAV5246 		TetR-family transcriptional regulator 		132	146	208	210	1.505	4.90E-04	yes
SCLAV5247 	rocG	Putative NADP-specific glutamate dehydrogenase 	1.4.1.3	23	19	19	22	0.973	1.56E-01	no
SCLAV5248 		Zn-dependent hydrolase of the beta-lactamase fold-like protein		118	120	116	117	0.984	4.50E-02	no
SCLAV5249 		Membrane protein 		67	65	59	60	0.902	5.85E-03	no
SCLAV5250 		LC7 family protein 		68	67	47	58	0.782	4.42E-03	no
SCLAV5251 		DUF742 domain containing protein		74	71	72	72	0.994	1.56E-01	no
SCLAV5252 		ATP/GTP-binding protein 		65	68	75	75	1.129	4.50E-02	no
SCLAV5253 		GAF domain-containing protein 		50	50	61	53	1.137	1.88E-01	no
SCLAV5254 		Probable acyl-CoA dehydrogenase 		87	93	110	119	1.271	4.42E-03	no
SCLAV5255 		L-alanine-DL-glutamate epimerase-like protein 		63	63	52	53	0.832	1.19E-03	no
SCLAV5256 		Putative ABC transporter permease protein 		91	91	60	58	0.651	4.90E-04	no
SCLAV5257 		ABC transporter periplasmic components 		49	58	41	43	0.793	5.85E-03	no
SCLAV5258 		ABC transporter ATP-binding protein 		47	42	44	37	0.905	4.50E-02	no
SCLAV5259 		Sugar phosphate isomerase / epimerase		55	63	46	42	0.742	3.16E-03	no
SCLAV5260 		Secreted glycosyl hydrolase 		51	53	40	41	0.775	1.28E-03	no
SCLAV5261 		Putative phage integrase 		31	38	17	22	0.569	3.16E-03	no
SCLAV5267 		Putative acetyltransferase 		51	44	34	36	0.743	3.66E-03	no
SCLAV5268 		Acyl-CoA dehydrogenase domain protein 		96	102	107	109	1.09	1.56E-01	no
SCLAV5269 		Gramicidin S biosynthesis protein grsT 		56	57	64	62	1.126	1.09E-01	no
SCLAV5270 		Glucose-methanol-choline oxidoreductase 		90	96	101	103	1.094	1.56E-01	no
SCLAV5271 		Non-ribosomal peptide synthetase 		88	85	88	87	1.011	1.84E-01	no
SCLAV5272 		"Lantibiotic biosynthesis protein, flavoprotein "		46	44	48	45	1.038	1.84E-01	no
SCLAV5273 		Globin 		50	60	53	55	0.985	1.56E-01	no
SCLAV5274 		Putative transmembrane efflux protein 		67	81	74	74	0.994	1.56E-01	no
SCLAV5275 		Thioredoxin reductase 		51	53	48	57	1.004	1.81E-01	no
SCLAV5276 		Thioesterase 		38	45	33	30	0.752	7.63E-03	no
SCLAV5277 		condensation domain-containing protein 		135	138	88	92	0.662	4.90E-04	no
SCLAV5278 		AmphRI-like transcriptional regulator		42	40	33	36	0.84	7.63E-03	no
SCLAV5281 		Conserved hypothetical protein		84	83	64	74	0.824	3.66E-03	no
SCLAV5284 		Hypothetical protein		146	136	124	142	0.943	4.50E-02	no
SCLAV5285 		Hypothetical protein		48	47	38	33	0.752	2.63E-03	no
SCLAV5289 	plc	Non-hemolytic phospholipase C 	3.1.4.3	50	49	43	46	0.901	1.53E-02	no
SCLAV5291 		lipoprotein 		60	50	44	44	0.801	7.63E-03	no
SCLAV5294 		BNR repeat domain protein 		64	71	63	68	0.975	1.09E-01	no
SCLAV5295 		Hypothetical protein		63	58	55	64	0.98	1.56E-01	no
SCLAV5296 		Hypothetical protein		88	100	76	78	0.823	3.66E-03	no
SCLAV5297 		putative serine/threonine protein kinase 		50	52	47	49	0.947	3.21E-02	no
SCLAV5298 		Hypothetical protein		40	53	36	42	0.832	3.21E-02	no
SCLAV5300 		"Anaerobic dehydrogenase, typically selenocysteine-containing "		33	25	25	28	0.91	6.92E-02	no
SCLAV5302 		"Anaerobic dehydrogenase, typically selenocysteine-containing "		17	17	15	14	0.836	3.21E-02	no
SCLAV5303 		BNR repeat domain protein 		56	60	39	51	0.782	7.63E-03	no
SCLAV5304 		RCC1 repeat domain protein 		38	36	28	33	0.817	1.53E-02	no
SCLAV5308 		Transcription factor jumonji jmjC domain protein 		62	71	261	259	3.932	4.90E-04	yes
SCLAV5309 		2-(S)-hydroxypropyl-CoM dehydrogenase 		56	59	230	224	3.933	4.90E-04	yes
SCLAV5310 		"L-arginine:lysine amidinotransferase, putative "	2.1.4.1	46	45	110	96	2.282	4.90E-04	yes
SCLAV5311 		Radical SAM domain protein 		61	67	85	85	1.331	2.19E-03	no
SCLAV5312 		Putative aminocarboxymuconate-semialdehyde decarboxylase 		102	115	354	349	3.244	4.90E-04	yes
SCLAV5314 		Hypothetical protein		99	97	290	285	2.935	4.90E-04	yes
SCLAV5315 		Taurine dioxygenase 	1.14.11.17	33	42	112	125	3.162	4.90E-04	yes
SCLAV5316 		Hypothetical protein		69	82	153	145	1.979	4.90E-04	yes
SCLAV5317 		"Glycosyl transferase, family 2 "		38	44	80	86	2.046	4.90E-04	yes
SCLAV5318 		Putative oxidoreductase 		52	42	48	46	0.997	1.56E-01	no
SCLAV5320 		Fatty acid desaturase 	1.14.19.3	127	132	1194	1106	8.897	4.90E-04	yes
SCLAV5321 		Oxidoreductase FAD-binding domain-containing protein 		78	74	1108	1035	14.129	4.90E-04	yes
SCLAV5322 		Putative transcriptional regulator 		102	108	88	101	0.899	1.53E-02	no
SCLAV5325 		Amidinotransferase 		94	88	94	85	0.982	1.09E-01	no
SCLAV5327 		DNA topoisomerase II 		149	156	147	157	0.997	1.56E-01	no
SCLAV5328 		Putative rubrerythrin 		114	124	98	120	0.913	3.21E-02	no
SCLAV5329 		Putative methyltransferase 		85	92	76	85	0.909	2.21E-02	no
SCLAV5330 		Sulfotransferase domain-containing protein 		48	55	59	58	1.128	1.84E-01	no
SCLAV5331 		Putative Fe-S oxidoreductase 		49	59	69	61	1.201	1.81E-01	no
SCLAV5332 		Putative arylsulphatase 		137	147	140	157	1.045	1.88E-01	no
SCLAV5333 		Putative permease of the major facilitator superfamily 		76	81	69	68	0.871	4.42E-03	no
SCLAV5334 		Putative StrR-family transcriptional regulator 		117	109	99	103	0.9	5.85E-03	no
SCLAV5335 		Non-ribosomal peptide synthetase 		87	83	69	82	0.886	2.21E-02	no
SCLAV5336 		Putative monooxygenase 	1.14.13.9	96	118	96	101	0.919	4.50E-02	no
SCLAV5337 		Non-ribosomal peptide synthetase 		122	116	115	111	0.949	2.21E-02	no
SCLAV5338 		Putative O-methyltransferase 		83	84	77	81	0.947	2.21E-02	no
SCLAV5339 		Putative cytochrome P450 		158	189	135	166	0.866	2.21E-02	no
SCLAV5341 		Hypothetical protein		143	151	115	119	0.796	7.86E-04	no
SCLAV5342 		Putative methyltransferase 		75	75	58	62	0.795	1.19E-03	no
SCLAV5343 		Condensation domain protein 		121	125	99	109	0.845	2.63E-03	no
SCLAV5344 		Putative membrane protein 		78	77	57	64	0.778	1.63E-03	no
SCLAV5345 		SAM-dependent methyltransferase 		50	49	30	33	0.634	7.86E-04	no
SCLAV5346 		glycosyl transferase 		90	94	72	87	0.861	1.04E-02	no
SCLAV5347 		Hypothetical protein		80	87	60	64	0.745	1.03E-03	no
SCLAV5349 		regulatory protein 		56	58	49	48	0.844	3.16E-03	no
SCLAV5350 		Acyltransferase 3 		86	89	45	43	0.498	4.90E-04	no
SCLAV5352 		Exopolysaccharide phosphotransferase 		71	71	40	41	0.574	4.90E-04	no
SCLAV5354 		Glucose-methanol-choline oxidoreductase 		38	34	25	23	0.665	2.63E-03	no
SCLAV5356 		Hypothetical protein		94	96	63	75	0.726	1.19E-03	no
SCLAV5357 		Hypothetical protein		127	109	98	93	0.813	3.66E-03	no
SCLAV5359 	ispB	dimethylallyltranstransferase / geranyltranstransferase / geranylgeranyl pyrophosphate synthetase 	2.5.1.-	95	94	49	54	0.544	4.90E-04	no
SCLAV5360 		Putative integral membrane protein 		51	58	39	37	0.696	1.63E-03	no
SCLAV5361 		Putative fumarate reductase-related protein 		77	85	51	64	0.71	2.63E-03	no
SCLAV5362 		Putative iron-sulfur protein 		69	62	45	44	0.68	9.98E-04	no
SCLAV5363 		Conserved hypothetical protein		72	63	47	43	0.664	1.19E-03	no
SCLAV5364 		DUF309 domain containing protein		85	92	61	62	0.698	7.86E-04	no
SCLAV5366 		Putative repressor in the phenylacetic acid catabolism 		31	43	33	30	0.861	4.50E-02	no
SCLAV5367 		Hypothetical protein		48	46	30	30	0.633	6.56E-04	no
SCLAV5368 		Predicted flavoprotein involved in K+ transport 		109	119	78	96	0.765	3.16E-03	no
SCLAV5370 		Integral membrane transport protein 		41	46	50	61	1.266	1.56E-01	no
SCLAV5372 		Transcriptional regulator 		60	61	51	53	0.851	3.16E-03	no
SCLAV5373 		Endoribonuclease L-PSP 		38	40	27	35	0.794	1.53E-02	no
SCLAV5374 		Putative acetone-cyanohydrin lyase 		54	57	39	42	0.722	1.19E-03	no
SCLAV5375 	fprE	ferredoxin reductase 		60	62	59	60	0.974	6.92E-02	no
SCLAV5377 		Putative lipoprotein 		99	98	114	112	1.149	2.19E-03	no
SCLAV5378 		two component system histidine kinase		54	53	56	59	1.067	1.88E-01	no
SCLAV5379 		Two-component system response regulator 		92	82	126	134	1.487	7.86E-04	no
SCLAV5380 		hydrolase 		101	107	130	138	1.289	1.28E-03	no
SCLAV5381 		Putative secreted protein 		90	87	121	148	1.52	5.85E-03	no
SCLAV5382 		Possible integral membrane protein 		58	60	79	73	1.294	5.85E-03	no
SCLAV5383 		Hypothetical protein		40	43	46	55	1.215	1.84E-01	no
SCLAV5384 		GntR family transcriptional regulator 		86	86	84	97	1.049	1.88E-01	no
SCLAV5385 		FAD dependent oxidoreductase 		48	53	59	60	1.178	6.92E-02	no
SCLAV5386 		Major facilitator superfamily MFS_1 		69	72	99	101	1.419	4.90E-04	yes
SCLAV5388 		secreted amidase 		87	88	117	144	1.489	7.63E-03	no
SCLAV5389 		"two component transcriptional regulator, LuxR family protein "		259	220	339	322	1.381	1.28E-03	no
SCLAV5390 		"Histidine kinase, dimerisation and phosphoacceptor region "		83	74	121	123	1.55	4.90E-04	yes
SCLAV5394 		Two-component system response regulator 		92	92	124	125	1.351	4.90E-04	yes
SCLAV5395 		Acetyltransferase 		50	49	60	60	1.214	3.66E-03	no
SCLAV5396 		GCN5-related N-acetyltransferase 		48	52	63	65	1.285	5.85E-03	no
SCLAV5397 		"ABC-type Fe3+-siderophore transport system, permease component "		61	63	73	80	1.229	2.21E-02	no
SCLAV5398 		periplasmic binding protein 		102	112	101	114	1.004	1.81E-01	no
SCLAV5399 		"putative enterobactin-iron ABC transport system, ATP-binding protein "	3.6.3.34	36	43	37	40	0.968	1.09E-01	no
SCLAV5400 		AraC family transcriptional regulator 		62	67	57	59	0.904	1.53E-02	no
SCLAV5401 		Putative transcriptional regulator 		58	58	63	59	1.058	1.90E-01	no
SCLAV5402 		Hypothetical protein		92	91	88	97	1.011	1.81E-01	no
SCLAV5404 	"ycdM, rutA"	Monooxygenase 	1.14.-.-	74	72	118	118	1.62	4.90E-04	yes
SCLAV5405 		4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis enzyme 		92	114	145	158	1.471	3.66E-03	no
SCLAV5406 		metalloendopeptidase glycoprotease family protein 	3.4.24.57	222	214	153	157	0.711	4.90E-04	no
SCLAV5407 		7 beta-(4-carboxybutanamido)cephalosporanic acid acylase 		60	57	59	60	1.015	1.84E-01	no
SCLAV5408 	abgT	cryptic aminobenzoyl-glutamate transporter 		67	74	81	74	1.099	1.88E-01	no
SCLAV5409 		ArsR family transcriptional regulator 		77	92	82	94	1.042	1.84E-01	no
SCLAV5410 		Periplasmic copper-binding 		68	70	72	73	1.042	1.90E-01	no
SCLAV5411 		Putative secreted protein 		102	101	101	102	1.004	1.56E-01	no
SCLAV5412 		"Transcriptional regulator, TetR family "		93	91	87	88	0.947	1.53E-02	no
SCLAV5413 		oxidoreductase 	1.1.1.100	102	112	109	106	1.006	1.81E-01	no
SCLAV5414 		MarR family transcriptional regulator 		68	82	69	71	0.93	4.50E-02	no
SCLAV5415 		radical SAM domain protein		63	69	73	71	1.086	1.88E-01	no
SCLAV5416 		coproporphyrinogen III oxidase 	1.3.99.22	62	72	71	63	1.004	1.56E-01	no
SCLAV5417 		Hypothetical protein		59	61	56	58	0.954	3.21E-02	no
SCLAV5418 		Glutathione synthase/ribosomal protein S6 modification enzyme (Glutaminyl transferase) 		100	114	119	120	1.116	1.81E-01	no
SCLAV5419 		Hypothetical protein		73	71	85	78	1.13	1.56E-01	no
SCLAV5420 		putative peptidyl-arginine deiminase family protein 	3.5.3.12	91	106	64	69	0.67	1.19E-03	no
SCLAV5421 		TetR family transcriptional regulator 		72	71	57	54	0.78	8.76E-04	no
SCLAV5422 		Putative TetR family transcriptional regulator 		87	94	41	50	0.509	4.90E-04	no
SCLAV5423 		NmrA-like family protein 		119	123	97	101	0.82	7.86E-04	no
SCLAV5424 		Putative AraC-family transcriptional regulator 		34	43	47	44	1.175	1.88E-01	no
SCLAV5425 	hutH	Histidine ammonia-lyase 	4.3.1.3	114	114	100	90	0.829	2.19E-03	no
SCLAV5426 		Putative ABC transporter ATP-binding protein 		55	50	36	38	0.705	1.28E-03	no
SCLAV5427 		Choline transport system permease protein opuBB 		80	89	54	74	0.759	5.85E-03	no
SCLAV5428 		ABC transporter permease 		87	73	68	66	0.838	1.04E-02	no
SCLAV5429 		ABC transporter substrate-binding protein 		98	105	83	93	0.87	5.85E-03	no
SCLAV5431 		Subtilisin-like serine protease 		97	115	109	128	1.117	1.90E-01	no
SCLAV5432 		transmembrane efflux protein 		103	103	104	103	1.012	1.81E-01	no
SCLAV5433 		Putative dehydrogenase 	1.1.1.31	97	96	97	94	0.989	1.09E-01	no
SCLAV5434 		Hypothetical protein		85	92	61	68	0.73	1.03E-03	no
SCLAV5435 		Oxidoreductase 		126	134	119	128	0.948	3.21E-02	no
SCLAV5436 		Redox-sensitive transcriptional activator SoxR 		101	99	100	115	1.074	1.90E-01	no
SCLAV5437 		Regulatory protein 		98	99	65	73	0.696	6.56E-04	no
SCLAV5438 		Hypothetical protein		83	85	58	57	0.687	4.90E-04	no
SCLAV5439 		Hypothetical protein		62	66	43	47	0.696	9.98E-04	no
SCLAV5440 		Putative secreted chitin-binding protein 		166	163	133	142	0.834	8.76E-04	no
SCLAV5441 	ppsA	Pyruvate phosphate dikinase 	2.7.9.1	317	308	312	288	0.96	3.21E-02	no
SCLAV5442 		Putative transcriptional regulator 		138	135	104	89	0.707	7.86E-04	no
SCLAV5443 		"Transcriptional regulator, COG1309 "		189	213	123	114	0.591	4.90E-04	no
SCLAV5445 		"Possible diacylglycerol kinase, catalytic region "		84	77	73	57	0.805	7.63E-03	no
SCLAV5446 		Aminoglycoside phosphotransferase 		122	126	106	105	0.851	8.76E-04	no
SCLAV5447 		transcriptional regulator 		172	206	203	206	1.084	1.90E-01	no
SCLAV5448 		Rare lipoprotein A 		155	143	88	88	0.592	4.90E-04	no
SCLAV5449 		Hypothetical protein		295	297	105	106	0.356	4.90E-04	no
SCLAV5450 		Hypothetical protein		298	300	104	97	0.335	4.90E-04	no
SCLAV5451 		peptidase M48 Ste24p 		139	137	80	96	0.64	5.79E-04	no
SCLAV5452 		Putative membrane protein 		95	105	81	85	0.831	3.16E-03	no
SCLAV5453 		Hypothetical protein		63	70	55	59	0.868	7.63E-03	no
SCLAV5454 		Putative transcriptional regulator 		173	172	140	167	0.889	1.04E-02	no
SCLAV5455 		Hypothetical protein		183	190	184	181	0.982	4.50E-02	no
SCLAV5456 		Putative pirin-like protein 		90	103	79	85	0.849	7.63E-03	no
SCLAV5457 		Histidine ammonia-lyase 	4.3.1.3	112	113	164	183	1.539	6.56E-04	no
SCLAV5458 		Short-chain dehydrogenase/reductase SDR 		82	93	153	152	1.742	4.90E-04	yes
SCLAV5459 		3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 3 	2.3.1.180	113	104	163	171	1.543	4.90E-04	yes
SCLAV5460 		FAD-binding domain protein 		94	97	106	113	1.147	3.21E-02	no
SCLAV5461 		Cytochrome P450 	1.14.-.-	88	99	112	110	1.189	3.21E-02	no
SCLAV5462 		Feruloyl-CoA synthetase 		125	124	153	155	1.24	4.90E-04	yes
SCLAV5463 		Putative polyketide synthase 		170	184	134	127	0.737	6.56E-04	no
SCLAV5464 		"putative ABC transporter, ATP-binding protein "		79	80	82	94	1.106	1.88E-01	no
SCLAV5465 		Hypothetical protein		80	66	70	73	0.981	1.09E-01	no
SCLAV5466 		Hypothetical protein		90	98	90	93	0.97	6.92E-02	no
SCLAV5469 		Stress-inducible protein 		58	49	45	51	0.893	3.21E-02	no
SCLAV5470 		Hypothetical protein		51	51	53	47	0.976	1.09E-01	no
SCLAV5472 		Glycosyl transferase 		121	109	152	140	1.27	5.85E-03	no
SCLAV5476 		"transcriptional regulator, SARP family protein "		76	84	112	104	1.344	2.63E-03	no
SCLAV5477 		Hypothetical protein		53	52	61	62	1.168	1.04E-02	no
SCLAV5478 		Hypothetical protein		70	65	62	74	1.01	1.81E-01	no
SCLAV5479 		"Transcriptional regulator, Fis family "		48	49	51	61	1.156	1.88E-01	no
SCLAV5481 		Protein kinase 	2.7.11.1	62	64	52	50	0.808	1.28E-03	no
SCLAV5482 	savM	Putative type II restriction-modification system DNA adenine-specific methylase 		96	111	86	83	0.816	4.42E-03	no
SCLAV5483 		2-hydroxyacid-family dehydrogenase 		56	53	38	35	0.672	8.76E-04	no
SCLAV5484 		Non-ribosomal peptide synthetase 		68	69	44	56	0.735	3.16E-03	no
SCLAV5485 		Non-ribosomal peptide synthetase 		77	91	50	68	0.709	4.42E-03	no
SCLAV5487 		Thioesterase 		57	65	48	42	0.741	3.16E-03	no
SCLAV5488 		"PREDICTED: similar to 3-hydroxyisobutyrate dehydrogenase, mitochondrial precursor (HIBADH) "		70	84	52	60	0.73	3.66E-03	no
SCLAV5490 	tkt	Putative transketolase 	2.2.1.1	84	92	38	40	0.446	4.90E-04	no
SCLAV5491 	p450-mel	Cytochrome P450 		64	66	38	39	0.594	4.90E-04	no
SCLAV5492 	rppA	"Type III PKS, putative chalcone synthase"	2.3.1.74	58	59	28	35	0.541	7.86E-04	no
SCLAV5493 		Secreted protein 		39	41	20	9	0.359	1.19E-03	no
SCLAV5494 		Metallo cofactor biosynthesis protein 		78	91	38	38	0.452	4.90E-04	no
SCLAV5496 		Daunorubicin resistance ABC transporter ATPase subunit 		75	84	40	43	0.524	4.90E-04	no
SCLAV5498 		ErfK/YbiS/YcfS/YnhG protein 		74	72	47	51	0.674	5.79E-04	no
SCLAV5499 		Transpeptidase 		156	163	115	131	0.771	1.03E-03	no
SCLAV5501 		WGR domain protein 		254	237	149	151	0.61	4.90E-04	no
SCLAV5502 		Hypothetical protein		34	31	33	27	0.941	6.92E-02	no
SCLAV5504 		beta-ketoadipyl-CoA thiolase 		143	152	164	129	0.99	1.56E-01	no
SCLAV5505 		phenylacetate-CoA ligase 	6.2.1.30	70	69	57	48	0.755	2.63E-03	no
SCLAV5506 		Hypothetical protein		128	122	114	114	0.917	3.66E-03	no
SCLAV5507 		Hypothetical protein		74	84	88	100	1.186	1.56E-01	no
SCLAV5509 		Glyceraldehyde-3-phosphate dehydrogenase 	1.2.1.12	118	123	125	136	1.081	1.84E-01	no
SCLAV5510 		RNA polymerase ECF-subfamily sigma factor 		108	111	118	132	1.146	1.09E-01	no
SCLAV5511 		Hypothetical protein		136	116	111	118	0.905	2.21E-02	no
SCLAV5512 		Hypothetical protein		97	91	78	77	0.822	1.28E-03	no
SCLAV5513 		Puromycin N-acetyltransferase 		97	97	73	73	0.752	4.90E-04	no
SCLAV5514 	kdpC	"Putative potassium-transporting ATPase C chain,P-type ATPase "	3.6.3.12	59	55	53	55	0.95	4.50E-02	no
SCLAV5515 	kdpB	Potassium-transporting ATPase subunit B 	3.6.3.12	88	97	59	67	0.68	9.98E-04	no
SCLAV5516 		"Potassium-transporting ATPase, A subunit "	3.6.3.12	119	125	89	90	0.737	4.90E-04	no
SCLAV5517 	kdpD	Sensory histidine kinase in two-component regulatory system wtih KdpE 	2.7.13.3	104	142	64	96	0.647	5.85E-03	no
SCLAV5519 		putative sporulation-control protein 		28	44	35	35	0.962	1.56E-01	no
SCLAV5520 		integral membrane protein 		71	80	67	78	0.966	1.09E-01	no
SCLAV5521 		"Predicted transcriptional regulator, COG3682 "		183	191	281	291	1.528	4.90E-04	yes
SCLAV5522 		Hypothetical protein		665	658	727	718	1.093	4.90E-04	yes
SCLAV5523 		Hypothetical protein		98	90	99	103	1.077	1.88E-01	no
SCLAV5524 		"ATPase, P-type (Transporting), HAD superfamily, subfamily IC "		152	147	138	149	0.962	3.21E-02	no
SCLAV5525 		polyphosphate:AMP phosphotransferase (EC:2.7.4.-)	2.7.4.-	78	75	63	68	0.86	3.66E-03	no
SCLAV5526 		"Transcriptional regulator, LysR family "		62	57	61	45	0.887	4.50E-02	no
SCLAV5529 		Putative vancomycin resistance protein 		135	135	86	70	0.578	4.90E-04	no
SCLAV5531 		putative 3-hydroxybutyrate dehydrogenase 	1.1.1.30	53	59	34	33	0.591	8.76E-04	no
SCLAV5532 		major facilitator superfamily permease 		57	60	28	41	0.588	1.63E-03	no
SCLAV5533 		GAF domain protein 		55	59	41	44	0.751	1.63E-03	no
SCLAV5534 		Selenocysteine lyase 		79	79	50	67	0.741	4.42E-03	no
SCLAV5535 		Hypothetical protein		38	40	32	34	0.844	7.63E-03	no
SCLAV5537 		LysR family trancsriptional regulator 		143	155	98	111	0.703	7.86E-04	no
SCLAV5538 		Hypothetical protein		590	607	421	450	0.727	4.90E-04	no
SCLAV5539 		Cytosine deaminase-like metal-dependent hydrolase 		41	51	39	36	0.81	1.53E-02	no
SCLAV5540 		Hypothetical protein		107	113	92	98	0.865	3.16E-03	no
SCLAV5541 		Putative Galactose oxidase 	1.1.3.9	59	65	51	60	0.892	3.21E-02	no
SCLAV5542 	dpm	Dolichol-phosphate mannosyltransferase 	2.4.1.83	76	82	77	77	0.976	6.92E-02	no
SCLAV5543 		Glycosyl transferase 		52	57	54	54	0.993	1.56E-01	no
SCLAV5544 		Glycosyl transferase 		57	52	64	61	1.139	1.56E-01	no
SCLAV5546 		Hypothetical protein		62	66	100	98	1.548	4.90E-04	yes
SCLAV5547 		YD repeat protein 		163	165	224	239	1.412	4.90E-04	yes
SCLAV5548 		Putative hydrolytic protein 		312	330	300	308	0.947	7.63E-03	no
SCLAV5549 		Cytochrome P450 		26	28	29	31	1.111	1.90E-01	no
SCLAV5550 		Sheath polysaccharide-degrading enzyme 		36	46	40	42	0.998	1.56E-01	no
SCLAV5552 	fprA	Putative ferredoxin reductase 		85	89	65	75	0.805	3.16E-03	no
SCLAV5553 		Cytochrome P450 		32	42	27	28	0.741	1.04E-02	no
SCLAV5554 		Formyl transferase domain-containing protein 		69	72	83	87	1.207	7.63E-03	no
SCLAV5556 		putative metal-dependent phosphohydrolase 		77	85	77	76	0.946	3.21E-02	no
SCLAV5557 		Phage protein 		485	444	775	792	1.687	4.90E-04	yes
SCLAV5558 	metX	homoserine O-acetyltransferase metX	2.3.1.31	62	64	73	73	1.155	1.04E-02	no
SCLAV5559 		O-acetylhomoserine aminocarboxypropyltransferase 	2.5.1.49	61	60	70	72	1.178	7.63E-03	no
SCLAV5560 		Antibiotic biosynthesis monooxygenase 		56	61	49	44	0.797	3.66E-03	no
SCLAV5561 		3-hydroxyisobutyrate dehydrogenase 	1.1.1.31	57	57	41	49	0.791	4.42E-03	no
SCLAV5564 		Putative cytochrome P450 		73	72	46	38	0.58	6.56E-04	no
SCLAV5566 		putative transferase 		67	81	33	37	0.475	7.86E-04	no
SCLAV5567 	aveG	Thioesterase 		73	82	71	73	0.926	3.21E-02	no
SCLAV5568 		Electron transfer flavoprotein 		214	223	273	254	1.209	2.63E-03	no
SCLAV5569 		Electron transfer flavoprotein 		491	428	582	563	1.246	3.16E-03	no
SCLAV5570 		Putative transcriptional repressor 		77	78	54	41	0.609	1.03E-03	no
SCLAV5571 		DUF35 domain containing protein		67	67	36	38	0.555	4.90E-04	no
SCLAV5572 		TetR family transcriptional regulator 		97	108	54	64	0.578	6.56E-04	no
SCLAV5574 		Putative ABC transporter permease 		107	107	48	49	0.452	4.90E-04	no
SCLAV5575 		ABC transporter permease 		67	72	37	39	0.543	4.90E-04	no
SCLAV5576 		Putative ABC transporter substrate-binding protein 		70	66	31	41	0.528	7.86E-04	no
SCLAV5577 		Hypothetical protein		154	150	129	124	0.835	7.86E-04	no
SCLAV5578 		esterase		60	57	31	34	0.554	4.90E-04	no
SCLAV5579 		Putative ABC transporter ATP-binding protein 		83	88	50	50	0.586	4.90E-04	no
SCLAV5580 		Chitosanase II 		79	97	60	68	0.73	3.66E-03	no
SCLAV5581 		Prolyl aminopeptidase 		70	72	49	58	0.756	2.63E-03	no
SCLAV5582 		LmbE family protein		86	85	86	103	1.108	1.90E-01	no
SCLAV5583 		putative oxidoreductase 		48	50	39	41	0.817	3.16E-03	no
SCLAV5584 		Putative oxidoreductase 		71	73	91	85	1.224	7.63E-03	no
SCLAV5585 		acyl-CoA dehydrogenase 		67	71	68	64	0.954	4.50E-02	no
SCLAV5586 		Acyl-CoA dehydrogenase 		115	122	161	139	1.261	2.21E-02	no
SCLAV5587 		putative ABC transporter substrate-binding protein 		91	80	81	90	0.998	1.56E-01	no
SCLAV5588 		Putative ABC transporter permease protein 		39	35	36	38	1.005	1.56E-01	no
SCLAV5589 		Transport permease protein 		81	80	68	60	0.795	2.19E-03	no
SCLAV5590 		Putative ABC transporter ATP-binding protein 		47	46	37	34	0.762	2.19E-03	no
SCLAV5591 		ABC transporter ATP-binding protein 		76	66	58	70	0.9	3.21E-02	no
SCLAV5592 		ABC transporter ATP-binding protein 		258	259	235	256	0.951	2.21E-02	no
SCLAV5593 		Secreted protein 		74	78	42	44	0.565	4.90E-04	no
SCLAV5595 		DUF779 domain containing protein		69	74	232	247	3.361	4.90E-04	yes
SCLAV5596 		DUF385 domain containing protein		96	91	130	135	1.417	4.90E-04	yes
SCLAV5597 		Hypothetical protein		72	54	62	56	0.935	6.92E-02	no
SCLAV5599 		Putative cytochrome P450 		73	67	46	50	0.681	9.98E-04	no
SCLAV5600 		Short-chain dehydrogenase/reductase SDR 		38	42	31	38	0.857	3.21E-02	no
SCLAV5601 		Terpene_synth_C domain containing protein		112	99	75	76	0.713	1.03E-03	no
SCLAV5602 		Putative transcriptional activator srcap-like protein 		53	60	40	42	0.723	2.19E-03	no
SCLAV5603 		Hypothetical protein		26	32	36	24	1.037	1.81E-01	no
